url,title,release_date,director,producer,starring,language,imdb_link,tmdb_link
https://oldnothi.bfa.gov.bd/film-details/94,Haathi Amar Sathi,06 February 1987,,,"Jasim, Rozina",Bengali,https://imdb.com/title/tt14270038,
https://oldnothi.bfa.gov.bd/film-details/98,Sorgo Norok,13 February 1987,,,"Illias Kanchan, Diti, Mithun",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/99,Chandidas O Rajokini,20 February 1987,,,"Babita, Subrata Diti",Bengali,https://imdb.com/title/tt6106402,
https://oldnothi.bfa.gov.bd/film-details/93,Harano Sur,30 October 1987,,,"Sucharita, Subrato",Bengali,https://imdb.com/title/tt5557586,
https://oldnothi.bfa.gov.bd/film-details/102,Shikol,27 February 1987,,,"Sohel Rana, Dilara",Bengali,https://imdb.com/title/tt33967777,
https://oldnothi.bfa.gov.bd/film-details/100,Imandar,20 February 1987,,,"Wasim, Anju Ghosh, Imran",Bengali,https://imdb.com/title/tt33309709,
https://oldnothi.bfa.gov.bd/film-details/101,Aposh,27 February 1987,,,"Babita, Foysal, Mohammad Ali",Bengali,https://imdb.com/title/tt21346726,
https://oldnothi.bfa.gov.bd/film-details/104,Didar,13 March 1987,,,"Shabana, Wasim, Anjana",Bengali,https://imdb.com/title/tt8484428,
https://oldnothi.bfa.gov.bd/film-details/106,Bosonto Maloti,13 March 1987,,,"Anju Ghosh, Javed, Selina",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/103,Somorpon,13 March 1987,,,"Razzak, Babita, Kaleda Akhter Kalpona",Bengali,https://imdb.com/title/tt0930831,
https://oldnothi.bfa.gov.bd/film-details/109,Attayachar,03 April 1987,,,"Sohel Rana, Babita",Bengali,https://imdb.com/title/tt6964244,
https://oldnothi.bfa.gov.bd/film-details/107,Abishwas,03 April 1987,,,"Faruq, Anju Ghosh, Emran",Bengali,https://imdb.com/title/tt8984572,
https://oldnothi.bfa.gov.bd/film-details/105,Potibad,13 March 1987,,,"Wasim, Anju Ghosh",Bengali,https://imdb.com/title/tt0274812,
https://oldnothi.bfa.gov.bd/film-details/110,Zorina Sundori,03 April 1987,,,"Wasim, Sucharita",Bengali,https://imdb.com/title/tt6245972,
https://oldnothi.bfa.gov.bd/film-details/108,Morzada,19 March 1987,,,"Zafor Iqbal, Anju Ghosh",Bengali,https://imdb.com/title/tt0067085,
https://oldnothi.bfa.gov.bd/film-details/111,Surrender,17 April 1987,,,"Bulbul Ahmed, Shabna",Bengali,https://imdb.com/title/tt0094078,https://www.themoviedb.org/movie/123392
https://oldnothi.bfa.gov.bd/film-details/113,Sandhi,29 May 1987,,,"Razzak, Shabana, Sucharita",Bengali,https://imdb.com/title/tt4300624,
https://oldnothi.bfa.gov.bd/film-details/114,Lakshi Bodhu,29 May 1987,,,"Doel, Sohel Chowdhury",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/112,Niyat,29 May 1987,,,"Ujjol, Zinat, Aliraz",Bengali,https://imdb.com/title/tt29723539,
https://oldnothi.bfa.gov.bd/film-details/116,Niyotir Khela,29 May 1987,,,"Ujjal, Anju Ghosh, Diti",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/117,Soti Komola,29 May 1987,,,"Javed, Dilara, Suchorita",Bengali,https://imdb.com/title/tt2231403,
https://oldnothi.bfa.gov.bd/film-details/115,Lalu Mastan,29 May 1987,,,"Jasim, Shabana",Bengali,https://imdb.com/title/tt5435610,
https://oldnothi.bfa.gov.bd/film-details/119,Lov Lalosha,12 June 1987,,,"Jasim, Nasreen",Bengali,https://imdb.com/title/tt33676269,
https://oldnothi.bfa.gov.bd/film-details/118,Bahadur Nowjoyan,12 June 1987,,,"Anju Ghosh, Mahmud Kali",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/121,Shoshi Punnu,03 July 1987,,,"Shabana, Alamgir",Bengali,https://imdb.com/title/tt0387587,
https://oldnothi.bfa.gov.bd/film-details/120,Juli,03 July 1987,,,"Sohel Rana, Shabnam",Bengali,,https://www.themoviedb.org/movie/1326193
https://oldnothi.bfa.gov.bd/film-details/122,Mastan Dada,03 July 1987,,,"Babar, Sohana",Bengali,https://imdb.com/title/tt0156773,
https://oldnothi.bfa.gov.bd/film-details/124,Dhoni Gorib,10 July 1987,,,"Rozina, Mahmud Kali",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/123,Bhagyoboti,10 July 1987,,,"Rozina, Jasim",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/125,onghat,24 July 1987,,,"Sohel Rana, Rozina",Bengali,https://imdb.com/title/tt1433810,
https://oldnothi.bfa.gov.bd/film-details/126,Zulum,24 July 1987,,,"Sohel Rana, Rozina",Bengali,https://imdb.com/title/tt0264202,
https://oldnothi.bfa.gov.bd/film-details/127,Shami Stree,31 July 1987,,,"Shabana, Razzak, Alamgir",Bengali,https://imdb.com/title/tt5445588,
https://oldnothi.bfa.gov.bd/film-details/128,Sukh Shanti,19 July 1987,,,"Rozina, Jasim",Bengali,https://imdb.com/title/tt12753398,
https://oldnothi.bfa.gov.bd/film-details/129,Bharosa,31 July 1987,Saiful Azam Kasem,Metro Films,"Rozina, Alamgir, Jasim",Bengali,https://imdb.com/title/tt0056866,
https://oldnothi.bfa.gov.bd/film-details/131,Bharosa,31 July 1987,,,"Rozina, Alamgir, Jasim",Bengali,https://imdb.com/title/tt0056866,
https://oldnothi.bfa.gov.bd/film-details/130,Rangin Sat Bhai Champa,19 July 1987,,,"Rozina, Sattar, Dilara",Bengali,https://imdb.com/title/tt10340638,
https://oldnothi.bfa.gov.bd/film-details/132,Thin Tekka,07 August 1987,,,"Diti, Julia, Selina, Mahmud Koli",Bengali,https://imdb.com/title/tt0294910,
https://oldnothi.bfa.gov.bd/film-details/133,Setu Bondhon,21 August 1987,,,"Wasim, Sucharita, Doel",Bengali,https://imdb.com/title/tt27504446,
https://oldnothi.bfa.gov.bd/film-details/134,Shah Jamal,09 October 1987,,,"Anju Ghosh, Selina, Sattar",Bengali,https://imdb.com/title/tt31109698,
https://oldnothi.bfa.gov.bd/film-details/135,Man Moriyada,23 October 1987,,,"Wasim, Rozina",Bengali,https://imdb.com/title/tt0426087,
https://oldnothi.bfa.gov.bd/film-details/136,Mohan,23 October 1987,,,"Shabana, Jasim, Anjana",Bengali,https://imdb.com/title/tt27469884,
https://oldnothi.bfa.gov.bd/film-details/138,Sohojatri,28 August 1987,,,"Iliyas Kanchan, Champa, Aliraj",Bengali,https://imdb.com/title/tt6027630,
https://oldnothi.bfa.gov.bd/film-details/139,Mela,09 April 1987,,,"Nowshad, Doel, Samina",Bengali,,https://www.themoviedb.org/movie/368222
https://oldnothi.bfa.gov.bd/film-details/137,Sotota,21 August 1987,,,"Sohel Rana, Anju Ghosh",Bengali,https://imdb.com/title/tt0077711,
https://oldnothi.bfa.gov.bd/film-details/141,Sottyer Joy,04 September 1987,,,"Nadia, Lelin",Bengali,https://imdb.com/title/tt33305382,
https://oldnothi.bfa.gov.bd/film-details/140,Tin Geramer Moral,04 September 1987,,,"Anju Ghosh, Subrata, Anwara",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/143,Apekkha,11 September 2024,,,"Shabana, Alamgir",Bengali,https://imdb.com/title/tt6541590,
https://oldnothi.bfa.gov.bd/film-details/146,Torchar,25 September 1987,,,"Rozina, Alamgir",Bengali,https://imdb.com/title/tt0082206,
https://oldnothi.bfa.gov.bd/film-details/142,Nagina,28 August 1987,,,"Javed, Anjana, Adil",,https://imdb.com/title/tt0091601,
